legalEntityIdentifier;lastPublicUpdate;status;assignmentDate;renewalDate;expirationDate;expirationReason;successorLei;successorName;registeredName;legalEntityStatus;businessRegisterCode;businessRegistryIdentifier;legalForm;legalRegistrationAddress.firstAddressLine;legalRegistrationAddress.additionalAddressLine1;legalRegistrationAddress.additionalAddressLine2;legalRegistrationAddress.additionalAddressLine3;legalRegistrationAddress.city;legalRegistrationAddress.postalCode;legalRegistrationAddress.region;legalRegistrationAddress.country;headquartersAddress.firstAddressLine;headquartersAddress.additionalAddressLine1;headquartersAddress.additionalAddressLine2;headquartersAddress.additionalAddressLine3;headquartersAddress.city;headquartersAddress.postalCode;headquartersAddress.region;headquartersAddress.country;legalJurisdiction;entityCategory;validationSources;validationAuthorityID;validationAuthorityEntityID;managingLou
724500W98VZ80Q7M4J76;27-12-2022;ISSUED;30-10-2017;21-02-2023;;;;;Kwekerij Molenbroek Honselersdijk B.V.;ACTIVE;RA000463;27229298;Besloten Vennootschap;Molenbroeklaan 5A;;;;Honselersdijk;2675LH;;NL;Molenbroeklaan 5A;;;;Honselersdijk;2675LH;;NL;NL;;FULLY_CORROBORATED;RA000463;27229298;724500A93Z8V1MJK5349
724500E8VCWTA3VL1118;27-12-2022;ISSUED;13-01-2021;13-01-2023;;;;;Clever Investment Group B.V.;ACTIVE;RA000463;80944566;Besloten Vennootschap;Kerkstraat 4;;;;Loon op Zand;5175BB;;NL;Kerkstraat 4;;;;Loon op Zand;5175BB;;NL;NL;;FULLY_CORROBORATED;RA000463;80944566;724500A93Z8V1MJK5349
724500WLR5WQTD1QE588;27-12-2022;ISSUED;12-04-2016;18-02-2023;;;;;Share Debt Programme 1 B.V.;ACTIVE;RA000463;65227557;Besloten Vennootschap;Basisweg 10;;;;Amsterdam;1043AP;;NL;Basisweg 10;;;;Amsterdam;1043AP;;NL;NL;;FULLY_CORROBORATED;RA000463;65227557;724500A93Z8V1MJK5349
724500CDNQB5D9JQS062;27-12-2022;ISSUED;09-11-2017;09-11-2023;;;;;C.W. de Jong Pensioen B.V.;ACTIVE;RA000463;30181387;Besloten Vennootschap;Otterlaan 27;;;;Veenendaal;3903CW;;NL;Otterlaan 27;;;;Veenendaal;3903CW;;NL;NL;;FULLY_CORROBORATED;RA000463;30181387;724500A93Z8V1MJK5349
724500HH76DI6P1VR164;27-12-2022;ISSUED;27-12-2022;27-12-2023;;;;;Kasa Beheer B.V.;ACTIVE;RA000463;11050047;Besloten Vennootschap;Wijksestraat 27;;;;Bergharen;6617BX;;NL;Wijksestraat 27;;;;Bergharen;6617BX;;NL;NL;;FULLY_CORROBORATED;RA000463;11050047;724500A93Z8V1MJK5349
7245000WOMOC2X0ZJ460;27-12-2022;ISSUED;27-12-2022;27-12-2023;;;;;Loohuis Geotechniek B.V.;ACTIVE;RA000463;06048734;Besloten Vennootschap;Landrebenlaan 3;;;;Oldenzaal;7573AZ;;NL;Landrebenlaan 3;;;;Oldenzaal;7573AZ;;NL;NL;;FULLY_CORROBORATED;RA000463;06048734;724500A93Z8V1MJK5349
724500Z4G4E99IADBR72;27-12-2022;ISSUED;27-12-2022;27-12-2023;;;;;V.J.J. van Dijk Tandartsenpraktijk B.V.;ACTIVE;RA000463;17079660;Besloten Vennootschap;Maple-hof 5;;;;Mariahout;5738BH;;NL;Maple-hof 5;;;;Mariahout;5738BH;;NL;NL;;FULLY_CORROBORATED;RA000463;17079660;724500A93Z8V1MJK5349
7245006E8KVUBA0I6R07;27-12-2022;ISSUED;21-02-2018;21-02-2023;;;;;Hypenn RMBS I B.V.;ACTIVE;RA000463;58086706;Besloten Vennootschap;Basisweg 10;;;;Amsterdam;1043AP;;NL;Basisweg 10;;;;Amsterdam;1043AP;;NL;NL;;FULLY_CORROBORATED;RA000463;58086706;724500A93Z8V1MJK5349
724500IPL4DYOO4J4I83;27-12-2022;ISSUED;21-02-2018;21-02-2023;;;;;Stichting Koskea;ACTIVE;RA000463;01157721;Stichting;Stationsweg 1;;;;Grou;9001ED;;NL;Stationsweg 1;;;;Grou;9001ED;;NL;NL;;FULLY_CORROBORATED;RA000463;01157721;724500A93Z8V1MJK5349
724500AK0JV8K88WX205;27-12-2022;ISSUED;21-02-2018;21-02-2023;;;;;Casaroos B.V.;ACTIVE;RA000463;32116770;Besloten Vennootschap;Gerrit van der Veenlaan 18A;;;;Baarn;3743DN;;NL;Gerrit van der Veenlaan 18A;;;;Baarn;3743DN;;NL;NL;;FULLY_CORROBORATED;RA000463;32116770;724500A93Z8V1MJK5349
